"ÍSAT2008","ÍSAT2008_áp","Bálkur","Lýsing","Inniheldur","Inniheldur_einnig","Inniheldur_ekki"
"84.13.0","84130","O","Stjórnsýsla í þágu atvinnuveganna","Til þessarar greinar telst: - Stjórn ríkis og sveitarfélaga á málefnum atvinnuvega, hvers konar eftirliti, skipulagsmálum, orkumálum, veitum og samgöngum, fjarskiptum og ferðamálum. Einnig fellur stjórn atvinnumála og vinnumarkaðar og byggðaáætlanir og b",,
"84.21.0","84210","O","Utanríkisþjónusta","Til þessarar greinar telst: - Utanríkisráðuneytið, sendiráð og ræðisskrifstofur erlendis, sendinefndir eða starfslið á skrifstofum alþjóðastofnana - Starfsemi er tengist kynningu á íslenskri menningu og önnur kynningarstarfsemi erlendis - Aðstoð við er",,"Til þessarar greinar telst ekki: - Alþjóðleg hamfara- eða flóttamannahjálp, sjá 88.99 - Starfsemi erlendra sendiráða og sendifulltrúa, sjá 99.00"
"84.22.0","84220","O","Varnarmál","Til þessarar greinar telst: - Stjórn landvarna og hermála",,"Til þessarar greinar teljast ekki: - Almannavarnir, sjá 84.24"
"84.23.0","84230","O","Dómstólar og fangelsi","Til þessarar greinar telst: - Stjórnun og rekstur dómstóla og dómskerfis, þ.m.t. ríkissaksóknari - Gerðardómur í einkamálum - Stjórn fangelsismála og veiting betrunarþjónustu, þ.m.t. endurhæfingarþjónusta, óháð því hvort stjórn og rekstur hennar er í h",,"Til þessarar greinar telst ekki: - Ráðgjöf og málsvörn í einkamálum, refsimálum og öðrum málum, sjá 69.10"
"84.24.0","84240","O","Löggæsla og almannaöryggi","Til þessarar greinar telst: - Sú starfsemi sem innt er af hendi hjá almennum lögregluembættum  - Útlendingaeftirlit  - Starfsemi rannsóknarlögreglu - Landhelgisgæsla - Almannavarnir",,"Til þessarar greinar telst ekki: - Rekstur rannsóknastofa lögreglu, sjá 71.20 - Stjórnun varnar- og hermála, sjá 84.22"
"84.25.0","84250","O","Slökkviliðs- og björgunarstarfsemi","Til þessarar greinar telst: - Starfsemi slökkviliða sveitarfélaga - Starfsemi björgunarsveita, slysavarnarfélaga og annarra er sinna björgun vegna t.d. sjóslysa, stórslysa á landi og náttúruhamfara",,"Til þessarar greinar teljast ekki: - Slökkvistörf og brunavarnir vegna skógarelda, sjá 02.40 - Slökkvistörf á olíu- og gasvinnslusvæðum, sjá 09.10 - Slökkvistörf og brunavarnaþjónusta á flugvöllum, sjá 52.23"
"84.30.0","84300","O","Almannatryggingar","Til þessarar greinar telst: - Starfsemi sem tengis lögbundnum sjúkra-, slysa-, lífeyris- og atvinnuleysistryggingum - Greiðslur bóta í fæðingarorlofi",,"Til þessarar greinar telst ekki: - Lífeyrissjóðir, sjá 65.30 - Velferðar- og félagsþjónusta (án dvalar á stofnun eða heimili), sjá 88.10, 88.99"
"85.10.0","85100","P","Fræðslustarfsemi á leikskólastigi","Til þessarar greinar telst: - Fræðslustarfsemi í leikskóla (menntun áður en grunnskólastig hefst) - Starfsemi menntastofnana sem bjóða upp á nám í flokki 0 samkvæmt alþjóðlegu menntunarflokkuninni, ISCED",,"Til þessarar greinar telst ekki: - Starfsemi dagmæðra og önnur dagvistun ungbarna, sjá 88.91.1"
"85.20.0","85200","P","Fræðslustarfsemi á grunnskólastigi","Til þessarar greinar telst: - Bóklegt nám og tengdur lærdómur sem gefur nemendum góða grunnmenntun í lestri, skrift og reikningi ásamt undirstöðuskilningi í öðrum greinum s.s. sögu, landafræði, náttúrufræði, félagsvísindum, myndmennt og tónmennt - Starf",,"Til þessarar greinar telst ekki: - Fullorðinsfræðsla eins og hún er skilgreind í 85.5 - Frístundaheimili og skóladagheimili, sjá 88.91.2"
"85.31.0","85310","P","Fræðslustarfsemi á framhaldsskólastigi - bóknám","Til þessarar greinar teljast skólar sem veita almenna kennslu til stúdentsprófs og gefa aðgang að æðra námi í almennum eða sérhæfðum háskóla, t.d. tækniháskóla og kennaraháskóla. Viss sérhæfing eftir deildum eða brautum á sér stað sem fyrst og fremst er æ",,
