"ÍSAT2008","ÍSAT2008_áp","Bálkur","Lýsing","Inniheldur","Inniheldur_einnig","Inniheldur_ekki"
"01.11.0","01110","A","Kornrækt (að undanskildum hrísgrjónum), ræktun belgjurta og olíufræja","Til þessarar greinar teljast allar tegundir kornræktar, ræktun belgjurta og olíufræja á opnum ökrum.   Til þessarar greinar telst: - Kornrækt, s.s. ræktun á hveiti, maískorni, dúrru, byggi, rúgi, höfrum, hirsi og öðrum korntegundum, ót.a. - Ræktun bel",,"Til þessarar greinar telst ekki: - Hrísgrjónarækt, sjá 01.12 - Sykurmaísrækt, sjá 01.13.9 - Ræktun fóðurmaíss, sjá 01.19.9 - Ræktun olíuríkra aldina, sjá 01.26"
"01.12.0","01120","A","Hrísgrjónarækt",,,
"01.13.1","01131","A","Ræktun á aldingrænmeti og papriku","Til þessarar greinar telst: - Ræktun á aldingrænmeti, s.s. gúrkum, eggaldinum, tómötum, melónum og öðru aldingrænmeti - Ræktun á paprikum",,"Til þessarar greinar telst ekki: - Ræktun piparávaxta, eldpapriku og annarra krydd- og ilmjurta, sjá 01.28"
"01.13.2","01132","A","Ræktun á kartöflum",,,
"01.13.9","01139","A","Ræktun á öðru ótöldu grænmeti, rótum og hnýði","Til þessarar greinar telst: - Ræktun á blað- og stilkgrænmeti, s.s. hvítkáli, blómkáli, spergilkáli, salati, spínati, ætiþistlum, spergli og öðru blað- og stöngulgrænmeti - Ræktun á gulrótum - Ræktun á gulrófum og næpum - Ræktun á sveppum og jarðsvepp",,"Til þessarar greinar telst ekki: - Ræktun sveppagrós, sjá 01.30"
"01.14.0","01140","A","Ræktun sykurreyrs",,,"Til þessarar greinar telst ekki: - Ræktun sykurrófna, sjá 01.13.9"
"01.15.0","01150","A","Tóbaksræktun",,,
"01.16.0","01160","A","Ræktun trefjajurta","Til þessarar greinar telst: - Baðmullarræktun - Ræktun jútu og annarra bastspunatrefja - Hör- og hampræktun - Ræktun sísal og annarra spunatrefja af agavaætt - Ræktun abaca, ramí og annarra spunatrefja úr jurtaríkinu - Ræktun annarra trefjajurta",,
"01.19.1","01191","A","Blómarækt","Til þessarar greinar telst: - Ræktun á blómum - Framleiðsla afskorinna blóma og blómknappa",,
"01.19.9","01199","A","Önnur ótalin ræktun nytjajurta sem ekki eru fjölærar","Til þessarar greinar telst ræktun allra annarra nytjaplantna sem eru ekki fjölærar - Ræktun á fóðurnæpu, beðju, fóðurrófum, smára, alfalfa, esparsettnum, fóðurmaís og öðru grasi, fóðurkáli og áþekkum fóðurvörum - Ræktun á bókhveiti - Ræktun rófufræja (",,"Til þessarar greinar telst ekki: - Ræktun krydds, ilmjurta og lyfjajurta sem ekki eru fjölærar, sjá 01.28"
"01.21.0","01210","A","Ræktun á þrúgum","Til þessarar greinar telst: - Ræktun á þrúgum og vínberjum á vínekrum",,"Til þessarar greinar telst ekki: - Framleiðsla á víni, sjá 11.02"
"01.22.0","01220","A","Ræktun ávaxta frá hitabeltinu og heittempraða beltinu","Til þessarar greinar telst: - Ræktun ávaxta frá hitabeltinu og heittempraða beltinu s.s. ræktun á lárperum, banönum, döðlum, fíkjum, mangó, papæjualdinum og öðrum ávöxtum frá hitabeltinu eða heittempraða beltinu",,
"01.23.0","01230","A","Ræktun sítrusávaxta","Til þessarar greinar telst: - Ræktun sítrusávaxta, s.s. ræktun á sítrónum, appelsínum, greipaldinum og öðrum sítrusávöxtum",,
"01.24.0","01240","A","Ræktun kjarnaávaxta og steinaldina","Til þessarar greinar telst: - Ræktun kjarnaávaxta og steinaldina, s.s. ræktun á eplum, apríkósum, kirsuberjum, ferskjum, perum, plómum og öðrum kjarnaávöxtum og steinaldinum",,
"01.25.0","01250","A","Ræktun annarra ávaxta og hneta af trjám og runnum","Til þessarar greinar telst: - Ræktun berja, s.s. ræktun á bláberjum, rifsberjum, garðaberjum, kíví, hindberjum, jarðarberjum og öðrum berjum - Ræktun ávaxtafræja - Ræktun á ætum hnetum, s.s. ræktun á möndlum, kasúhnetum, kastaníuhnetum, heslihnetum, pi",,"Til þessarar greinar telst ekki: - Ræktun á kókoshnetum, sjá 01.26"
"01.26.0","01260","A","Ræktun olíuríkra ávaxta","Til þessarar greinar telst: - Ræktun olíuríkra ávaxta, s.s. ræktun á kókoshnetum, ólífum, olíupálma og öðrum olíuríkum ávöxtum",,"Til þessarar greinar telst ekki: - Ræktun á sojabaunum, jarðhnetum og öðrum olíufræjum, sjá 01.11"
"01.27.0","01270","A","Ræktun jurta til drykkjargerðar","Til þessarar greinar telst: - Ræktun jurta til drykkjargerðar, s.s. ræktun á kaffi, te, maté, kakói og öðrum jurtum til drykkjargerðar",,
"01.28.0","01280","A","Ræktun krydd- , ilm- og lyfjajurta","Til þessarar greinar telst: - Ræktun krydd- og ilmjurta, s.s. ræktun á pipar, múskati, anís, kanil, negul, engiferi, vanillu og öðrum krydd- og ilmjurtum - Ræktun lyfja- og eiturlyfjaplantna",,
"01.29.0","01290","A","Ræktun annarra fjölærra nytjajurta","Til þessarar greinar telst: - Ræktun á grasi - Ræktun gúmmítrjáa til söfnunar á latexi - Ræktun á jólatrjám - Trjárækt til trjákvoðuvinnslu",,
"01.30.0","01300","A","Plöntufjölgun","Til þessarar greinar telst framleiðsla allra útplöntunarplantna til framhaldsræktunar, þ.m.t. græðlingar, villisprotar og ungplöntur til beinnar plöntufjölgunar eða ræktun plöntustofns til ágræðslu þar sem valinn græðlingur er ágræddur í því skyni að plan",,"Til þessarar greinar telst ekki: - Rekstur gróðrarstöðva fyrir skógartré, sjá 02.10.1"
"01.41.0","01410","A","Ræktun mjólkurkúa","Til þessarar greinar telst: - Eldi og ræktun mjólkurkúa - Framleiðsla hrámjólkur úr kúm eða vísundum",,"Til þessarar greinar telst ekki: - Mjólkurvinnsla, sjá 10.51"
"01.42.0","01420","A","Önnur nautgriparækt","Til þessarar greinar telst: - Eldi og ræktun nautgripa og vísunda til kjötframleiðslu - Framleiðsla nautgripasæðis",,
"01.43.0","01430","A","Hrossarækt og ræktun annarra dýra af hrossaætt","Til þessarar greinar telst: - Eldi og ræktun hrossa, asna, múlasna eða múldýra",,"Til þessarar greinar telst ekki: - Rekstur hesthúsa fyrir útreiðar og kappreiðar, sjá 93.19"
"01.44.0","01440","A","Úlfaldarækt og ræktun dýra af úlfaldaætt",,,
"01.45.0","01450","A","Sauðfjár- og geitarækt","Til þessarar greinar telst: - Eldi og ræktun sauðfjár og geita - Framleiðsla hrámjólkur úr kindum og geitum - Framleiðsla óunninnar ullar",,"Til þessarar greinar telst ekki: - Rúningur sauðfjár gegn þóknun eða samkvæmt samningi, sjá 01.62 - Framleiðsla ullar af sláturfé, sjá 10.11 - Mjólkurvinnsla, sjá 10.51"
"01.46.0","01460","A","Svínarækt",,,
"01.47.1","01471","A","Alifuglarækt","Til þessarar greinar telst: - Eldi og ræktun alifugla, s.s. kjúklinga, kalkúna, anda, gæsa og perluhænsna - Rekstur klakstöðva fyrir alifugla",,"Til þessarar greinar telst ekki: - Slátrun og vinnsla á alifuglakjöti, sjá 10.12"
"01.47.2","01472","A","Eggjaframleiðsla",,,
"01.49.1","01491","A","Loðdýrabú","Til þessarar greinar telst: - Eldi og ræktun á loðdýrum, s.s. minkum, refum og kanínum - Framleiðsla loðskinna á búum",,
"01.49.2","01492","A","Æðarrækt og æðardúnstekja",,,
"01.49.9","01499","A","Ræktun annarra ótalinna dýra","Til þessarar greinar telst: - Eldi og ræktun gæludýra (að undanskildum fiski), s.s. ræktun á köttum, hundum, páfagaukum, hömstrum o.þ.h. - Eldi og ræktun annarra lifandi dýra, s.s. ræktun á fuglum og skordýrum - Framleiðsla á skriðdýra- eða fuglshömum ",,"Til þessarar greinar telst ekki: - Framleiðsla húða og skinna  af veiddum dýrum, sjá 01.70 - Rekstur froska-, krókódíla-, burstaormabúa, sjá 03.21, 03.22 - Rekstur fiskeldisstöðva, sjá 03.21, 03.22 - Vistun og þjálfun gæludýra, sjá 96.09 - Alifuglaræ"
"01.50.0","01500","A","Blandaður búskapur","Til þessarar greinar telst þegar búfjárrækt og framleiðsla á nytjajurtum er stunduð jöfnum höndum.  Heildarumfang búrekstrar er ekki ákvarðandi þáttur. Ef annaðhvort framleiðsla nytjajurta eða búfjárrækt í tiltekinni einingu skilar meira en 66% af vergum ",,"Til þessarar greinar telst ekki: - Blandaður búskapur með nytjajurtir, sjá flokk 01.1 og 01.2 - Blönduð búfjárrækt, sjá flokk 01.4"
"01.61.0","01610","A","Þjónustustarfsemi við ræktun nytjajurta","Til þessarar greinar telst: - Landbúnaðarstarfsemi gegn þóknun eða samkvæmt samningi, s.s. undirbúningur akra, úðun nytjajurta, uppskera, illgresis- og meindýraeyðing í tengslum við landbúnað  - Viðhald landbúnaðarjarða í góðu ástandi fyrir landbúnað og","Til þessarar greinar telst einnig: - Útleiga landbúnaðarvéla með stjórnendum og starfsliði","Til þessarar greinar telst ekki: - Starfsemi að lokinni uppskeru, sjá 01.63 - Landslagsarkitektúr, sjá 71.11 - Starfsemi jarðræktarfræðinga og landbúnaðarráðunauta, sjá 74.90 - Skrúðgarðyrkja, gróðursetning, sjá 81.30 - Skipulagning landbúnaðarsýning"
"01.62.0","01620","A","Þjónustustarfsemi við búfjárrækt","Til þessarar greinar telst: - Landbúnaðarstarfsemi gegn þóknun eða samkvæmt samningi,  s.s. starfsemi sem stuðlar að æxlun, vexti og ræktun dýra, nytmælingar, rekstur hjarða, hagaganga, rúningur sauðfjár, vistun og umhirða húsdýra","Til þessarar greinar telst einnig: - Hrossatamningar - Starfsemi járningamanna","Til þessarar greinar telst ekki: - Útvegun á rými sem einungis er ætlað til að vista dýr, sjá 68.20 - Starfsemi dýralækna, sjá 75.00 - Bólusetning dýra, sjá 75.00 - Vistun gæludýra, sjá 96.09"
"01.63.0","01630","A","Starfsemi að lokinni uppskeru","Til þessarar greinar telst: - Vinnsla nytjaplantna fyrir frummarkaði, þ.e. hreinsun, snyrting, flokkun, sótthreinsun, þurrkun, vaxhjúpun, fæging - Baðmullarhreinsun - Vinnsla tóbakslaufa, t.d. þurrkun - Vinnsla kakóbauna, t.d. afhýðing",,"Til þessarar greinar telst ekki: - Vinnsla framleiðanda á landbúnaðarafurðum, sjá samsvarandi grein í flokki 01.1, 01.2 eða 01.3 - Stilkhreinsun og endurþurrkun tóbaks, sjá 12.00 - Markaðsstarfsemi umboðsmanna og samvinnufélaga, sjá deild 46 - Heildve"
"01.64.0","01640","A","Vinnsla fræja fyrir sáningu","Til þessarar greinar telst öll starfsemi eftir uppskeru í því skyni að bæta hæfni fræja til áframhaldandi ræktunar með því að fjarlægja efni sem er ekki hluti af fræjunum, fræ sem eru of smá, sködduð eftir vélar eða skordýr, óþroskuð fræ og einnig að minn",,"Til þessarar greinar telst ekki: - Ræktun fræja, sjá flokk 01.1 og 01.2 - Vinnsla olíu úr fræjum, sjá 10.41 - Rannsóknir til að þróa eða breyta fræjum, sjá 72.11"
"01.70.0","01700","A","Veiðar og tengd þjónustustarfsemi","Til þessarar greinar teljast: - Veiðar í atvinnuskyni - Þegar dýr eru tekin (dauð eða lifandi) til matar, til að nýta af þeim loðskinn, skinn eða til að nota þau í rannsóknum, setja í dýragarða eða hafa þau sem gæludýr - Framleiðsla á loðskinnum, skrið","Til þessarar greinar teljast einnig: - Veiðar sjávarspendýra á landi, s.s. rostungs og sels","Til þessarar greinar telst ekki: - Framleiðsla á loðskinnum, skriðdýra- eða fuglshömum á búum, sjá flokk 01.49 - Eldi veiðidýra á búum, sjá 01.49 - Hvalveiðar, sjá 03.11.3 - Framleiðsla á húðum og skinnum frá sláturhúsum, sjá 10.11 - Veiðar í íþrótta"
"02.10.1","02101","A","Rekstur gróðrastöðva fyrir skógartré",,,"Til þessarar greinar telst ekki: - Ræktun jólatrjáa, sjá 01.29 - Rekstur gróðrarstöðva fyrir önnur tré, 01.30"
"02.10.9","02109","A","Skógrækt og önnur ótalin starfsemi tengd henni","Til þessarar greinar telst: - Ræktun trjáa á rót, t.d. gróðursetning, umplöntun, grisjun og verndun skóglendis og skógi vaxinna svæða - Ræktun kjarrskóga og trjáa til vinnslu viðarkvoðu og eldiviðar  Þessi starfsemi getur farið fram í náttúrulegum eða",,"Til þessarar greinar telst ekki: - Ræktun jólatrjáa, sjá 01.29 - Söfnun sveppa og annarra afurða sem vaxa villt í skógum en eru ekki tré, sjá 02.30 - Framleiðsla viðarspænis og agna, sjá 16.10"
"02.20.0","02200","A","Skógarhögg","Til þessarar greinar telst: - Framleiðsla bolviðar fyrir iðnaðarframleiðslu sem byggir á skógarnytjum - Framleiðsla bolviðar sem er notaður óunninn, s.s. girðingarstaura og staura til ýmissa nota - Söfnun og framleiðsla viðar til orkuframleiðslu - Söf",,"Til þessarar greinar telst ekki: - Ræktun jólatrjáa, sjá 01.29 - Ræktun trjáa á rót, t.d. gróðursetning, umplöntun, grisjun og verndun skóglendis og svæða með trjáviði, sjá 02.10.9 - Söfnun afurða sem vaxa villtar í skógum en eru ekki tré, sjá 02.30 -"
"02.30.0","02300","A","Söfnun afurða sem vaxa villtar en eru ekki tré","Til þessarar greinar telst: - Söfnun afurða sem vaxa villtar, s.s. söfnun á sveppum, berjum, hnetum, kork, harpeis, balsam, malarhálm, akarni, mosa og skóf",,"Til þessarar greinar telst ekki: - Stýrð ræktun á einhverjum þessara afurða (að undanskilinni ræktun korktrjáa), sjá deild 01 - Ræktun sveppa eða jarðsveppa, sjá 01.13.9 - Ræktun á berjum eða hnetum, sjá 01.25 - Söfnun eldiviðar, sjá 02.20 - Framleið"
"02.40.0","02400","A","Þjónustustarfsemi við skógrækt","Til þessarar greinar telst framkvæmd hluta af rekstri skógræktar gegn þóknun eða samkvæmt samningi.  Til þessarar greinar telst: - Þjónusta við skógrækt, s.s talning trjáa, ráðgjafarþjónusta vegna skógvörslu, mat á timbri, slökkvistarf vegna skógarelda",,"Til þessarar greinar telst ekki: - Rekstur gróðrarstöðva fyrir skógartré, sjá 02.10.1 - Framræsla skóglendis, sjá 43.12 - Hreinsun byggingarsvæðis, sjá 43.12"
"03.11.1","03111","A","Útgerð smábáta","Til þessarar greinar telst: - Útgerð báta undir 15 brúttótonnum að stærð",,
"03.11.2","03112","A","Útgerð fiskiskipa","Til þessarar greinar telst: - Útgerð togara - Útgerð frystitogara og annarra vinnsluskipa - Útgerð loðnuskipa og síldarbáta - Útgerð annarra báta og skipa yfir 15 brúttótonnum að stærð","Til þessarar greinar telst einnig: - Útgerð skipa sem stunda bæði veiðar og vinnslu","Til þessarar greinar telst ekki: - Útgerð vinnsluskipa sem eingöngu taka við afla annarra fiskiskipa en stunda ekki veiðar sjálf, sjá 10.20.1"
"03.11.3","03113","A","Hvalveiðar",,,"Til þessarar greinar telst ekki: - Veiðar annarra sjávarspendýra, t.d. rostunga og sela, sjá 01.70 - Vinnsla hvala á verksmiðjuskipum, sjá 10.11"
"03.12.0","03120","A","Ferskvatnsveiði","Til þessarar greinar telst: - Fiskveiðar í atvinnuskyni í vötnum - Veiðar ferskvatnskrabbadýra og  lindýra - Veiðar vatnadýra sem lifa í fersku vatni",,"Til þessarar greinar telst ekki: - Vinnsla fisks, krabbadýra og lindýra, sjá 10.20 - Fiskveiðieftirlit, verndun og varsla fiskveiðisvæða, sjá 84.24 - Veiðar í íþrótta- eða tómstundaskyni og tengd þjónusta, sjá 93.19 - Rekstur friðaðra svæða fyrir fisk"
"03.21.0","03210","A","Eldi og ræktun í sjó","Til þessarar greinar telst: - Fiskeldi í sjó - Framleiðsla á ungviði humars, rækju og tvískelja (ostruskel, o.þ.h.); seiðaframleiðsla - Ræktun á þara og öðru ætu þangi - Ræktun krabbadýra, tvískelja og annarra lin- og vatnadýra í sjó","Til þessarar greinar telst einnig: - Fiskeldi í ísöltu vatni - Fiskeldi í kerum eða geymum fylltum af söltu vatni - Rekstur seiðastöðva (sjávar)","Til þessarar greinar telst ekki: - Rekstur svæða fyrir fiskveiðar í tómstundaskyni, sjá 93.19"
"03.22.0","03220","A","Eldi og ræktun í ferskvatni","Til þessarar greinar telst: - Fiskeldi í ferskvatni, þ.m.t. eldi skrautfiska - Ræktun krabbadýra, tvískelja, annarra lin- og vatnadýra í fersku vatni - Rekstur seiðastöðva (ferskvatns) - Froskeldi",,"Til þessarar greinar telst ekki: - Fiskeldi í kerum eða geymum fylltum af söltu vatni, sjá 03.21 - Rekstur svæða fyrir fiskveiðar í tómstundaskyni, sjá 93.19"
"05.10.0","05100","B","Steinkolanám","Til þessarar greinar telst: - Steinkolanám - Hreinsun, fínmulning, þjöppun, og önnur vinnsla kola til að flokka, auka gæði eða auðvelda flutninga","Til þessarar greinar telst einnig: - Steinakolavinnsla úr kolasalla á námusvæðum","Til þessarar greinar telst ekki: - Brúnkolanám, sjá 05.20 - Mótekja, sjá 08.92 - Þjónustustarfsemi fyrir steinkolanám, sjá 09.90 - Könnunarboranir fyrir kolanám, sjá 09.90 - Koksofnar til framleiðslu á eldsneyti í föstu formi, sjá 19.10 - Framleiðsl"
"05.20.0","05200","B","Brúnkolanám","Til þessarar greinar telst: - Brúnakolanám  - Hreinsun, vatnssneyðing, fínmulning, þjöppun brúnkola til að auka gæði, auðvelda flutninga eða geymslu",,"Til þessarar greinar telst ekki: - Steinkolanám, sjá 05.10 - Mótekja, sjá 08.92 - Þjónustustarfsemi fyrir brúnkolanám, sjá 09.90 - Könnunarboranir fyrir kolanám, sjá 09.90 - Framleiðsla brúnkolaköggla, sjá 19.20 - Vinna við að þróa eða undirbúa land"
"06.10.0","06100","B","Vinnsla á hráolíu","Til þessarar greinar telst: - Vinnsla á hráolíu","Til þessarar greinar telst einnig: - Vinnsla á bikkenndum leir eða olíuleir og tjörusandi - Framleiðsla hráolíu úr bikkenndum leir og sandi - Aðferðir til að vinna hráolíu, s.s. að umhella, fjarlægja salt og vatnssneyða","Til þessarar greinar telst ekki: - Þjónustustarfsemi við olíu- og jarðgassvinnslu, sjá 09.10 - Olíu- og jarðgassleit, sjá 09.10 - Framleiðsla hreinsaðra hráolíuafurða, sjá 19.20 - Vinnsla á fljótandi jarðolíugasi við hreinsun jarðolíu, sjá 19.20 - Re"
"06.20.0","06200","B","Vinnsla á jarðgasi","Til þessarar greinar telst:  - Vinnsla á jarðgasi - Þétting jarðgass til flutnings og endurgösun á því - Skiljun á rokgjörnum kolvetnishlutum og leiðsla þeirra í burtu - Hreinsun brennisteins úr jarðgasi","Til þessarar greinar telst einnig: - Vinnsla fljótandi kolvatnsefnis sem fengið er með þéttingu eða hitasundrun","Til þessarar greinar telst ekki: - Þjónustustarfsemi við olíu- og jarðgassvinnslu, sjá 09.10 - Olíu- og jarðgassleit, sjá 09.10 - Vinnsla á fljótandi jarðolíugasi við hreinsun jarðolíu, sjá 19.20, sjá 19.20 - Framleiðsla á iðnaðargasi, sjá 20.11 - Re"
"07.10.0","07100","B","Járnnám","Til þessarar greinar telst: - Nám og stykkjun málmgrýtis sem fyrst og fremst er nýtt vegna járninnihalds",,"Til þessarar greinar telst ekki: - Nám og vinnsla brennisteinskíss og segulkísssegulkíss (að brennslu undanskilinni), sjá 08.91"
"07.21.0","07210","B","Nám á úran- og þórínmálmgrýti","Til þessarar greinar telst: - Málmgrýtisnám sem fyrst og fremst er nýtt vegna úran- og þóríninnihalds: bikblendis o.þ.h. - Bæting slíks málmgrýtis - Framleiðsla gulköku",,"Til þessarar greinar telst ekki: - Auðgun úran- og þórínmálmgrýtis, sjá 20.13 - Framleiðsla úranmálms úr bikblendi eða öðru málmgrýti, sjá 24.46 - Bræðsla og hreinsun úrans, sjá 24.46"
"07.29.0","07290","B","Nám annarra málma en járns","Til þessarar greinar telst: - Nám og vinnsla málmgrýtis sem fyrst og fremst er nýtt vegna innihalds annarra málma en járns • ál (báxít), kopar, blý, sink, tin, mangan, króm, nikkel, kóbalt, mólybden, vanadíum, o.þ.h. • góðmálmar: gull, silfur, platínum",,"Til þessarar greinar telst ekki: - Nám og vinnsla úran- og þórínmálmgrýtis, sjá 07.21 - Framleiðsla súráls, sjá 24.42 - Framleiðsla efna úr kopar eða nikkel, sjá 24.44, 24.45"
"08.11.0","08110","B","Grjótnám til skrautsteinagerðar og til bygginga, kalksteins-, gifs-, krítar- og flögubergsnám","Til þessarar greinar telst: - Grjótnám, grófsnyrting og sögun steina til legsteina- og höggmyndagerðar eða bygginga, s.s. marmari, granít, sandsteinn o.þ.h. - Brot og mölun steina til skrautsteinagerðar og bygginga - Grjótnám, mölun og brot kalksteins ",,"Til þessarar greinar telst ekki: - Nám steinefna til efnaiðnaðar og áburðargerðar, sjá 08.91 - Framleiðsla brennds dólómíts, sjá 23.52 - Skurður, mótun og fínpússun steina utan grjótnáma, sjá 23.70"
"08.12.0","08120","B","Malar-, sand- og leirnám","Til þessarar greinar telst: - Gröftur og mokstur eftir sandi til byggingariðnaðar og mannvirkjagerðar og til annarra iðnaðarnota  - Malar- og grjótmulning  - Sandnám - Leirnám, nám eldfasts leirs og postulínsleirs",,"Til þessarar greinar telst ekki: - Nám bikkennds sands, sjá 06.10"
"08.91.0","08910","B","Nám og vinnsla á steinefnum til efnaiðnaðar og áburðargerðar","Til þessarar greinar telst: - Nám og vinnsla á náttúrulegum fosfötum og kalíumsöltum  - Nám og vinnsla á hreinum brennisteini - Nám og vinnsla á brennisteins- og segulkísi (að brennslu undanskilinni) - Nám og vinnsla á náttúrlegu baríumsúlfati og karb","Til þessarar greinar telst einnig: - Nám og vinnsla á gúanói","Til þessarar greinar telst ekki: - Saltnám, sjá 08.93 - Brennsla brennisteinskíss, sjá 20.13 - Framleiðsla tilbúins áburðar og niturefnasambanda, sjá 20.15"
"08.92.0","08920","B","Mótekja","Til þessarar greinar telst: - Vinnsla á mó úr gröf - Stykkjun á mó",,"Til þessarar greinar telst ekki: - Þjónustustarfsemi tengd mótekju, sjá 09.90 - Framleiðsla á gróðurmoldarblöndum úr mó, náttúrulegum jarðvegi, sandi, leir, áburði o.þ.h., sjá 20.15 - Framleiðsla á vörum úr mó, sjá 23.99"
"08.93.0","08930","B","Saltnám","Til þessarar greinar telst: - Saltnám neðanjarðar þ.á.m. með upplausn og dælingu  - Framleiðsla á salti með uppgufun á  sjó eða annars konar saltvatni - Mölun, hreinsun og vinnsla salts af framleiðanda",,"Til þessarar greinar telst ekki: - Vinnsla á matarsalti , t.d. joðbættu salti, sjá 10.84 - Framleiðsla á drykkjarhæfu vatni með uppgufun saltvatns, sjá 36.00"
"08.99.0","08990","B","Nám og vinnsla annarra ótalinna hráefna úr jörðu","Til þessarar greinar telst: - Nám og vinnsla ýmissa jarðefna og efna • efni til slípunar, asbest, kísilsalli, náttúrlegt grafít, tálgusteinn, feldspat o.þ.h. • skrautsteinar, kvars, gljásteinar o.þ.h. • náttúrlegt asfalt og jarðbik",,
"09.10.0","09100","B","Þjónustustarfsemi við námuvinnslu á jarðolíu og jarðgasi","Til þessarar greinar telst: - Þjónustustarfsemi við vinnslu á jarðolíu- og gasi, gegn þóknun eða samkvæmt samningi: • rannsóknarstarfsemi í tengslum við vinnslu jarðolíu eða gass, t.d. hefðbundnar leitaraðferðir, s.s. jarðfræðiathuganir • stefnuborun o","Til þessarar greinar telst einnig: - Slökkvistarf á olíu- og gassvæðum","Til þessarar greinar telst ekki: - Þjónustustarfsemi sem rekstraraðilar olíu- eða gassvæða inna af hendi, sjá 06.10, 06.20 - Sérhæfðar viðgerðir á námuvélum, sjá 33.12 - Þétting og endurgösun, sem fer fram utan vinnslustaðar, á jarðgasi fyrir flutning,"
"09.90.0","09900","B","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu","Til þessarar greinar telst: - Þjónustustarfsemi gegn þóknun eða samkvæmt samningi í tengslum við námustarfsemi í deild 05, 07 og 08  • þjónusta við rannsóknir, t.d. hefðbundnar leitaraðferðir, s.s. taka kjarnasýna og jarðfræðiathuganir  • þjónusta við ",,"Til þessarar greinar telst ekki: - Rekstur náma eða grjótnáma samkvæmt samningi eða gegn þóknun, sjá deild 05, 07 eða 08 - Sérhæfðar viðgerðir á námuvinnuvélum, sjá 33.12 - Þjónusta við jarðeðlisfræðilegar rannsóknir samkvæmt samningi eða gegn þóknun, "
"10.11.0","10110","C","Slátrun og vinnsla á kjöti, þó ekki alifuglakjöti","Til þessarar greinar telst: - Rekstur sláturhúsa þar sem fram fer slátrun, snyrting og pökkun á kjöti, s.s. nautakjöti, svínakjöti, lambakjöti og hrossakjöti - Framleiðsla á nýju, kældu eða frystu kjöti í heilum skrokkum eða stykkjum","Til þessarar greinar telst einnig: - Vinnsla hvala á landi eða á sérútbúnum skipum - Vinnsla húða og skinna frá sláturhúsum - Vinnsla svínafeiti og annarrar dýrafitu til manneldis - Vinnsla innmats úr dýrum - Vinnsla ullar af sláturfé","Til þessarar greinar telst ekki: - Framleiðsla fuglafeiti til manneldis, sjá 10.12 - Pökkun kjöts, gegn þóknun eða samkvæmt samningi, sjá 82.92"
"10.12.0","10120","C","Slátrun og vinnsla á alifuglakjöti","Til þessarar greinar telst: - Rekstur sláturhúsa þar sem fram fer slátrun, snyrting og pökkun á alifuglakjöti - Framleiðsla á nýju, kældu eða frystu alifuglakjöti - Vinnsla á fuglafeiti til manneldis","Til þessarar greinar telst einnig: - Framleiðsla á fiðri og dún, þó ekki æðardúnstekja","Til þessarar greinar telst ekki: - Pökkun kjöts, gegn þóknun eða samkvæmt samningi, sjá 82.92 - Æðardúnstekja, sjá 01.49.2"
"10.13.0","10130","C","Framleiðsla á kjötafurðum","Til þessarar greinar telst: - Framleiðsla á þurrkuðu, söltuðu eða reyktu kjöti - Framleiðsla á unnum kjötafurðum: s.s. framleiðsla á pylsum, bjúgum, áleggi, blóðmör og lifrapylsu, kæfu og skinku",,"Til þessarar greinar telst ekki: - Framleiðsla á tilbúnum, frosnum kjöt- og alifuglaréttum, sjá 10.85 - Framleiðsla á súpum með kjöti, sjá 10.89 - Heildverslun með kjöt, sjá 46.32 - Pökkun kjöts, sjá 82.92"
"10.20.1","10201","C","Frysting fiskafurða, krabbadýra og lindýra","Til þessarar greinar telst: - Verkun, flökun og frysting botnfisks og annarra fiskitegunda - Frysting á rækju, humri og öðrum krabbadýrum - Frysting á hörpudiski og öðrum lindýrum","Til þessarar greinar telst einnig: - Útgerð vinnsluskipa sem eingöngu taka við afla annarra fiskiskipa en stunda ekki veiðar sjálf","Til þessarar greinar telst ekki: - Fiskvinnsla um borð í fiskiskipum, sjá 03.11.2"
"10.20.2","10202","C","Söltun, þurrkun og hersla fiskafurða, krabbadýra og lindýra","Til þessarar greinar telst: - Saltfiskverkun og síldarsöltun - Skreiðarverkun og hersla fiskhausa - Harðfiskverkun og verkun hákarls - Önnur söltun, þurrkun eða hersla fiskafurða, krabbadýra og lindýra",,
"10.20.3","10203","C","Mjöl- og lýsisvinnsla","Til þessarar greinar telst: - Framleiðsla á fiskimjöli - Framleiðsla á mjöli og soðkjarna úr fiski og öðrum sjávardýrum, óhæft til manneldis - Bræðsla búklýsis",,"Til þessarar greinar telst ekki: - Bræðsla lýsis úr fisklifur, sjá 10.41"
"10.20.4","10204","C","Framleiðsla lagmetis úr fiskafurðum, krabbadýrum og lindýrum","Til þessarar greinar telst: - Niðursuða á fiski, krabbadýrum og lindýrum - Niðurlagning í saltpækil og á dósir - Framleiðsla á kavíar og kavíarlíki - Framleiðsla annars lagmetis úr fiskafurðum, krabbadýrum eða lindýrum",,"Til þessarar greinar telst ekki: - Framleiðsla á tilbúnum fiskréttum, sjá 10.85"
