"ÍSAT95","Ísat_heiti","ÍSAT2008","ÍSAT2008_heiti"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01630","Starfsemi að lokinni uppskeru"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01290","Ræktun annarra fjölærra nytjajurta"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01280","Ræktun krydd- , ilm- og lyfjajurta"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01199","Önnur ótalin ræktun nytjajurta sem ekki eru fjölærar"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01160","Ræktun trefjajurta"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01150","Tóbaksræktun"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01140","Ræktun sykurreyrs"
"01111","Kornrækt, grasrækt og önnur ræktun, þó ekki kartöflurækt","01120","Hrísgrjónarækt"
"01112","Kartöflurækt","01132","Ræktun á kartöflum"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","01199","Önnur ótalin ræktun nytjajurta sem ekki eru fjölærar"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","01131","Ræktun á aldingrænmeti og papriku"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","01110","Kornrækt (að undanskildum hrísgrjónum), ræktun belgjurta og olíufræja"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","01280","Ræktun krydd- , ilm- og lyfjajurta"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","02300","Söfnun afurða sem vaxa villtar en eru ekki tré"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","01640","Vinnsla fræja fyrir sáningu"
"01121","Ræktun grænmetis og garðplöntuframleiðsla","01300","Plöntufjölgun"
"01122","Blómarækt","01191","Blómarækt"
"01130","Ræktun ávaxta og berja","01250","Ræktun annarra ávaxta og hneta af trjám og runnum"
"01130","Ræktun ávaxta og berja","02300","Söfnun afurða sem vaxa villtar en eru ekki tré"
"01130","Ræktun ávaxta og berja","01640","Vinnsla fræja fyrir sáningu"
"01130","Ræktun ávaxta og berja","01630","Starfsemi að lokinni uppskeru"
"01130","Ræktun ávaxta og berja","01280","Ræktun krydd- , ilm- og lyfjajurta"
"01130","Ræktun ávaxta og berja","01260","Ræktun olíuríkra ávaxta"
"01130","Ræktun ávaxta og berja","01240","Ræktun kjarnaávaxta og steinaldina"
"01130","Ræktun ávaxta og berja","01230","Ræktun sítrusávaxta"
"01130","Ræktun ávaxta og berja","01220","Ræktun ávaxta frá hitabeltinu og heittempraða beltinu"
"01130","Ræktun ávaxta og berja","01210","Ræktun á þrúgum"
"01130","Ræktun ávaxta og berja","01270","Ræktun jurta til drykkjargerðar"
"01210","Nautgriparækt","01410","Ræktun mjólkurkúa"
"01210","Nautgriparækt","01420","Önnur nautgriparækt"
"01221","Sauðfjárrækt","01450","Sauðfjár- og geitarækt"
"01222","Hrossarækt","01430","Hrossarækt og ræktun annarra dýra af hrossaætt"
"01230","Svínarækt","01460","Svínarækt"
"01240","Alifuglarækt","01471","Alifuglarækt"
"01251","Blönduð búfjárrækt","01410","Ræktun mjólkurkúa"
"01252","Loðdýrabú","01491","Loðdýrabú"
"01259","Önnur ótalin búfjárrækt","01499","Ræktun annarra ótalinna dýra"
"01300","Blandaður búskapur jarðyrkju og búfjárræktar","01500","Blandaður búskapur"
"01411","Þjónusta við jarðyrkju","01630","Starfsemi að lokinni uppskeru"
"01411","Þjónusta við jarðyrkju","01610","Þjónustustarfsemi við ræktun nytjajurta"
"01412","Skrúðgarðyrkja","81300","Skrúðgarðyrkja"
"01420","Þjónusta við búfjárrækt önnur en dýralækningar","01620","Þjónustustarfsemi við búfjárrækt"
"01500","Dýraveiðar og tengd þjónusta","01700","Veiðar og tengd þjónustustarfsemi"
"02010","Skógrækt og skógarhögg","02300","Söfnun afurða sem vaxa villtar en eru ekki tré"
"02010","Skógrækt og skógarhögg","02200","Skógarhögg"
"02010","Skógrækt og skógarhögg","02101","Rekstur gróðrastöðva fyrir skógartré"
"02010","Skógrækt og skógarhögg","01290","Ræktun annarra fjölærra nytjajurta"
"02020","Þjónusta tengd skógrækt og skógarhöggi","02400","Þjónustustarfsemi við skógrækt"
"05011","Togaraútgerð","03112","Útgerð fiskiskipa"
"05012","Útgerð vinnsluskipa","03112","Útgerð fiskiskipa"
"05013","Útgerð fiskiskipa yfir 10 brl., þó ekki togara og vinnsluskipa","03112","Útgerð fiskiskipa"
"05014","Smábátaútgerð","03111","Útgerð smábáta"
"05015","Útgerð hvalveiðiskipa","03113","Hvalveiðar"
"05021","Seiðaeldi","03210","Eldi og ræktun í sjó"
"05021","Seiðaeldi","03220","Eldi og ræktun í ferskvatni"
"05022","Land- og kvíaeldi","03210","Eldi og ræktun í sjó"
"05022","Land- og kvíaeldi","03220","Eldi og ræktun í ferskvatni"
"05023","Hafbeitarstöðvar","03210","Eldi og ræktun í sjó"
"05024","Eldi sjávardýra","03210","Eldi og ræktun í sjó"
"05024","Eldi sjávardýra","03220","Eldi og ræktun í ferskvatni"
"05025","Ræktun og veiði í ám og vötnum","03220","Eldi og ræktun í ferskvatni"
"05030","Þjónusta við fiskveiðar","52100","Vörugeymsla"
"10100","Steinkolanám","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"10100","Steinkolanám","05100","Steinkolanám"
"10100","Steinkolanám","19200","Framleiðsla á hreinsuðum olíuvörum"
"10200","Brúnkolanám","05200","Brúnkolanám"
"10200","Brúnkolanám","19200","Framleiðsla á hreinsuðum olíuvörum"
"10200","Brúnkolanám","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"10300","Mótekja","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"10300","Mótekja","08920","Mótekja"
"11100","Vinnsla á hráolíu og jarðgasi","06200","Vinnsla á jarðgasi"
"11100","Vinnsla á hráolíu og jarðgasi","06100","Vinnsla á hráolíu"
"11200","Tækniþjónusta tengd hráolíu- og jarðgassvinnslu","09100","Þjónustustarfsemi við námuvinnslu á jarðolíu og jarðgasi"
"12000","Nám á úran- og þórínmálmgrýti","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"12000","Nám á úran- og þórínmálmgrýti","07210","Nám á úran- og þórínmálmgrýti"
"13100","Járnnám","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"13100","Járnnám","07100","Járnnám"
"13200","Nám annarra málma en járns, þó ekki úran- og þórínmálmgrýtis","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"13200","Nám annarra málma en járns, þó ekki úran- og þórínmálmgrýtis","07290","Nám annarra málma en járns"
"14110","Grjótnám til bygginga og mannvirkjagerðar","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"14110","Grjótnám til bygginga og mannvirkjagerðar","08110","Grjótnám til skrautsteinagerðar og til bygginga, kalksteins-, gifs-, krítar- og flögubergsnám"
"14120","Kalksteins-, gifs- og krítarnám","08110","Grjótnám til skrautsteinagerðar og til bygginga, kalksteins-, gifs-, krítar- og flögubergsnám"
"14120","Kalksteins-, gifs- og krítarnám","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"14130","Flögubergsnám","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"14130","Flögubergsnám","08110","Grjótnám til skrautsteinagerðar og til bygginga, kalksteins-, gifs-, krítar- og flögubergsnám"
"14210","Malar- og sandnám; vikurnám","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"14210","Malar- og sandnám; vikurnám","08120","Malar-, sand- og leirnám"
"14220","Leirnám, þ.m.t. vinnsla postulínsleirs","08120","Malar-, sand- og leirnám"
"14220","Leirnám, þ.m.t. vinnsla postulínsleirs","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"14300","Nám og vinnsla á steinefnum til efnaiðnaðar og áburðargerðar","08910","Nám og vinnsla á steinefnum til efnaiðnaðar og áburðargerðar"
"14300","Nám og vinnsla á steinefnum til efnaiðnaðar og áburðargerðar","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"14400","Saltvinnsla","10840","Framleiðsla á bragðefnum og kryddi"
"14400","Saltvinnsla","08930","Saltnám"
"14400","Saltvinnsla","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"14500","Nám og vinnsla  annarra ótalinna hráefna úr jörðu","08990","Nám og vinnsla annarra ótalinna hráefna úr jörðu"
"14500","Nám og vinnsla  annarra ótalinna hráefna úr jörðu","09900","Þjónustustarfsemi fyrir vinnslu annarra hráefna úr jörðu"
"15110","Slátrun, vinnsla og geymsla kjöts, þó ekki alifuglakjöts","10110","Slátrun og vinnsla á kjöti, þó ekki alifuglakjöti"
"15120","Slátrun, vinnsla og geymsla alifuglakjöts","10120","Slátrun og vinnsla á alifuglakjöti"
"15130","Kjötiðnaður","10850","Framleiðsla á tilbúnum máltíðum og réttum"
"15130","Kjötiðnaður","10130","Framleiðsla á kjötafurðum"
"15201","Frysting fiskafurða","10201","Frysting fiskafurða, krabbadýra og lindýra"
"15202","Saltfiskverkun","10202","Söltun, þurrkun og hersla fiskafurða, krabbadýra og lindýra"
"15203","Síldarsöltun","10202","Söltun, þurrkun og hersla fiskafurða, krabbadýra og lindýra"
"15204","Hersla","10202","Söltun, þurrkun og hersla fiskafurða, krabbadýra og lindýra"
"15205","Harðfiskverkun","10202","Söltun, þurrkun og hersla fiskafurða, krabbadýra og lindýra"
"15206","Vinnsla á fersku sjávarfangi","10850","Framleiðsla á tilbúnum máltíðum og réttum"
