"ÍSAT95","Ísat_heiti","ÍSAT2008","ÍSAT2008_heiti"
"26150","Annar gleriðnaður","23190","Framleiðsla og vinnsla á öðru gleri, þ.m.t. glervara til tæknilegra nota"
"26210","Framleiðsla á nytjaleirmunum og skrautmunum","23410","Framleiðsla á heimilisvörum og skrautmunum úr leir og postulíni"
"26220","Framleiðsla á hreinlætistækjum úr leir og postulíni","23420","Framleiðsla á hreinlætistækjum úr leir og postulíni"
"26230","Framleiðsla á einangrurum og einangrunarefni úr postulíni","23430","Framleiðsla á einangrurum og tengjum úr leir"
"26240","Framleiðsla annarrar leirvöru til tæknilegra nota","23440","Framleiðsla á annarri leirvöru til tæknilegra nota"
"26250","Önnur leirmuna- og postulínsgerð","23490","Framleiðsla á öðrum leirvörum"
"26260","Framleiðsla eldfastrar leirvöru","23200","Framleiðsla á eldföstum vörum"
"26300","Framleiðsla á flísum og hellum úr leir og postulíni","23310","Framleiðsla á flísum og hellum úr leir"
"26400","Framleiðsla á byggingarvörum úr brenndum leir","23320","Framleiðsla á byggingarvörum úr brenndum leir"
"26510","Sementsframleiðsla","23510","Sementsframleiðsla"
"26520","Kalkframleiðsla","23520","Kalk- og gifsframleiðsla"
"26530","Gifsframleiðsla","23520","Kalk- og gifsframleiðsla"
"26610","Framleiðsla á byggingarefni úr steinsteypu","23610","Framleiðsla á byggingarefni úr steinsteypu"
"26620","Framleiðsla á bygggingarefni úr gifsi","23620","Framleiðsla á byggingarefni úr gifsi"
"26630","Framleiðsla tilbúinnar steinsteypu","23630","Framleiðsla á tilbúinni steinsteypu"
"26640","Framleiðsla steinlíms","23640","Framleiðsla á steinlími"
"26650","Framleiðsla á vörum úr trefjasementi","23650","Framleiðsla á vörum úr trefjasementi"
"26660","Framleiðsla annarrar vöru úr steinsteypu, sementi og gifsi","23690","Framleiðsla á öðrum vörum úr steinsteypu, sementi og gifsi"
"26700","Steinsmíði","23700","Steinsmíði"
"26810","Framleiðsla slípisteina og slípiefna","23910","Framleiðsla á vörum til slípunar"
"26821","Steinullarframleiðsla","23990","Framleiðsla á öðrum ótöldum vörum úr málmlausum steinefnum"
"26822","Þakpappaframleiðsla","23990","Framleiðsla á öðrum ótöldum vörum úr málmlausum steinefnum"
"26829","Annar ótalinn steinefnaiðnaður, þó ekki málmiðnaður","23990","Framleiðsla á öðrum ótöldum vörum úr málmlausum steinefnum"
"27100","Járn- og stálframleiðsla; framleiðsla spegiljárns","24100","Framleiðsla á járni, stáli og járnblendi"
"27210","Framleiðsla steypujárns- og steypustálsröra","24510","Járnsteypa"
"27220","Framleiðsla járn- og stálröra","24200","Framleiðsla á rörum, pípum, holum prófílum og tengihlutum úr stáli"
"27310","Kalddráttur","24310","Kalddráttur stanga"
"27320","Kaldvölsun flatjárns og flatstáls","24320","Kaldvölsun flatstáls"
"27330","Kaldmótun","24330","Kaldmótun"
"27340","Vírdráttur","24340","Kalddráttur víra"
"27350","Önnur ótalin frumvinnsla á járni og stáli; framleiðsla járnblendis, þó ekki spegiljárns","24100","Framleiðsla á járni, stáli og járnblendi"
"27410","Framleiðsla góðmálma","24410","Framleiðsla góðmálma"
"27420","Álframleiðsla","24420","Álframleiðsla"
"27430","Blý-, sink- og tinframleiðsla","24430","Blý-, sink- og tinframleiðsla"
"27440","Koparframleiðsla","24440","Koparframleiðsla"
"27450","Framleiðsla annarra málma sem ekki innihalda járn","24450","Framleiðsla annarra málma sem ekki innihalda járn"
"27510","Járnsteypa","24510","Járnsteypa"
"27520","Stálsteypa","24520","Stálsteypa"
"27530","Málmsteypa úr léttmálmum","24530","Steypa léttmálma"
"27540","Önnur málmsteypa","24540","Steypa annarra málma sem ekki innihalda járn"
"28110","Framleiðsla og viðgerðir á burðarvirkjum og byggingareiningum úr málmi","25110","Framleiðsla á  burðarvirkjum og byggingareiningum úr málmi"
"28120","Framleiðsla og viðgerðir á byggingarvöru úr málmum","25120","Framleiðsla á hurðum og gluggum úr málmi"
"28210","Framleiðsla og viðgerðir geyma, kera og íláta úr málmum","25290","Framleiðsla á öðrum geymum, kerum og ílátum úr málmi"
"28210","Framleiðsla og viðgerðir geyma, kera og íláta úr málmum","33110","Viðgerðir á málmvörum"
"28220","Framleiðsla og viðgerðir miðstöðvarofna og miðstöðvarkatla","25210","Framleiðsla á miðstöðvarofnum og -kötlum"
"28220","Framleiðsla og viðgerðir miðstöðvarofna og miðstöðvarkatla","33110","Viðgerðir á málmvörum"
"28300","Framleiðsla og viðgerðir á gufukötlum, þó ekki miðstöðvarkötlum","33110","Viðgerðir á málmvörum"
"28300","Framleiðsla og viðgerðir á gufukötlum, þó ekki miðstöðvarkötlum","25300","Framleiðsla á gufukötlum, þó ekki miðstöðvarkötlum"
"28400","Eldsmíði, önnur málmsmíði og viðgerðir; sindurmótun","25500","Eldsmíði og önnur málmsmíði; sindurmótun"
"28510","Meðferð og húðun málma","25610","Meðhöndlun og húðun málma"
"28520","Almenn málmsmiðjuþjónusta og blikksmíði","25620","Vélvinnsla málma"
"28610","Framleiðsla og viðgerðir á hnífum, verkfærum og ýmis konar járnvöru","25710","Framleiðsla á hnífapörum, hnífum, skærum, o.þ.h."
"28610","Framleiðsla og viðgerðir á hnífum, verkfærum og ýmis konar járnvöru","33110","Viðgerðir á málmvörum"
"28620","Framleiðsla og viðgerðir á verkfærum","28490","Framleiðsla á öðrum ótöldum smíðavélum"
"28620","Framleiðsla og viðgerðir á verkfærum","33110","Viðgerðir á málmvörum"
"28620","Framleiðsla og viðgerðir á verkfærum","25730","Framleiðsla á verkfærum, þó ekki vélknúnum"
"28620","Framleiðsla og viðgerðir á verkfærum","28920","Framleiðsla á vélum til mannvirkjagerðar, námugraftrar og vinnslu hráefna úr jörðu"
"28630","Framleiðsla á lásum og lömum","25720","Framleiðsla á lásum og lömum"
"28710","Framleiðsla og viðgerðir á stáltunnum og svipuðum ílátum","25910","Framleiðsla á stáltunnum og svipuðum ílátum"
"28720","Framleiðsla á umbúðum úr léttmálmum","25920","Framleiðsla á umbúðum úr léttmálmi"
"28730","Framleiðsla á vörum úr vír","25930","Framleiðsla á keðjum,  fjöðrum og vörum úr vír"
"28740","Framleiðsla á boltum, skrúfum, keðjum og fjöðrum","25940","Framleiðsla á boltum og skrúfum"
"28740","Framleiðsla á boltum, skrúfum, keðjum og fjöðrum","25930","Framleiðsla á keðjum,  fjöðrum og vörum úr vír"
"28750","Önnur ótalin málmsmíði og viðgerðir","32990","Önnur ótalin framleiðsla"
"28750","Önnur ótalin málmsmíði og viðgerðir","25710","Framleiðsla á hnífapörum, hnífum, skærum, o.þ.h."
"28750","Önnur ótalin málmsmíði og viðgerðir","25990","Framleiðsla á öðrum ótöldum málmvörum"
"29110","Framleiðsla og viðgerðir hreyfla og hverfla, þó ekki í loftför, bíla og vélhjól","28110","Framleiðsla hreyfla og hverfla, þó ekki í loftför, ökutæki eða vélhjól"
"29120","Framleiðsla og viðgerðir á dælum og þjöppum","28120","Framleiðsla á vökvaaflsbúnaði"
"29120","Framleiðsla og viðgerðir á dælum og þjöppum","28130","Framleiðsla á öðrum dælum og þjöppum"
"29120","Framleiðsla og viðgerðir á dælum og þjöppum","33120","Viðgerðir á vélbúnaði"
"29130","Framleiðsla og viðgerðir á krönum og lokum","28140","Framleiðsla á krönum og lokum"
"29140","Framleiðsla og viðgerðir á legum, tannhjólum, drifum og drifbúnaði","28150","Framleiðsla á legum, tannhjólum, drifum og drifbúnaði"
"29210","Framleiðsla og viðhald á bræðsluofnum og brennurum","28210","Framleiðsla á ofnum, bræðsluofnum og brennurum"
"29220","Framleiðsla og viðhald á lyftitækjum, spilum og öðrum færslubúnaði","28220","Framleiðsla á lyftitækjum og færslubúnaði"
"29220","Framleiðsla og viðhald á lyftitækjum, spilum og öðrum færslubúnaði","33120","Viðgerðir á vélbúnaði"
"29230","Framleiðsla og viðhald á kæli- og loftræstitækjum til annarra nota en heimilisnota","28250","Framleiðsla á kæli- og loftræstibúnaði, þó ekki til  heimilisnota"
"29240","Framleiðsla og viðhald annarra véla til almennra nota","26510","Framleiðsla á tækjum og búnaði til mælinga, prófana og leiðsögu"
"29240","Framleiðsla og viðhald annarra véla til almennra nota","28290","Framleiðsla á öðrum ótöldum vélum til almennra nota"
"29240","Framleiðsla og viðhald annarra véla til almennra nota","28940","Framleiðsla á vélum fyrir textíl-, fata- og leðurframleiðslu"
"29240","Framleiðsla og viðhald annarra véla til almennra nota","33130","Viðgerðir á rafeindabúnaði og optískum tækjum"
"29310","Dráttarvélasmíði og viðhald","33120","Viðgerðir á vélbúnaði"
"29320","Framleiðsla og viðhald annarra véla til nota í landbúnaði og skógrækt","28300","Framleiðsla á vélum til nota í landbúnaði og skógrækt"
"29320","Framleiðsla og viðhald annarra véla til nota í landbúnaði og skógrækt","33120","Viðgerðir á vélbúnaði"
"29400","Framleiðsla smíðavéla og viðhald","28410","Framleiðsla á vélum til mótunar á málmi"
"29510","Framleiðsla og viðhald véla til málmvinnslu","28910","Framleiðsla á vélum til málmvinnslu"
"29520","Framleiðsla og viðhald véla til námuvinnslu, sementsframleiðslu, mannvirkjagerðar o.fl.","28920","Framleiðsla á vélum til mannvirkjagerðar, námugraftrar og vinnslu hráefna úr jörðu"
"29531","Framleiðsla og viðhald vélvirkra véla fyrir fiskiðnað og annan matvælaiðnað","28930","Framleiðsla á vélum fyrir matvæla-, drykkjarvöru- og tóbaksvinnslu"
"29532","Framleiðsla og viðhald tölvustýrðra véla fyrir fiskiðnað og annan matvælaiðnað","28930","Framleiðsla á vélum fyrir matvæla-, drykkjarvöru- og tóbaksvinnslu"
"29539","Framleiðsla og viðhald véla fyrir drykkjarvöru- og tóbaksiðnað","28930","Framleiðsla á vélum fyrir matvæla-, drykkjarvöru- og tóbaksvinnslu"
"29540","Framleiðsla og viðhald véla fyrir textíl-, fata- og leðuriðnað","28940","Framleiðsla á vélum fyrir textíl-, fata- og leðurframleiðslu"
"29550","Framleiðsla og viðhald véla fyrir pappírsiðnað","28950","Framleiðsla á vélum til pappírs- og pappaframleiðslu"
"29560","Framleiðsla og viðhald annarra ótalinna sérhæfðra véla","28990","Framleiðsla á öðrum ótöldum sérhæfðum vélum"
"29560","Framleiðsla og viðhald annarra ótalinna sérhæfðra véla","28960","Framleiðsla á vélum til plast- og gúmmívinnslu"
"29600","Vopna- og skotfæraframleiðsla","25400","Vopna- og skotfæraframleiðsla"
"29600","Vopna- og skotfæraframleiðsla","30400","Framleiðsla á hernaðarökutækjum"
"29710","Framleiðsla rafmagnstækja til heimilisnota","27510","Framleiðsla rafknúinna heimilistækja"
"29720","Framleiðsla heimilistækja, þó ekki rafmagnstækja","27520","Framleiðsla heimilistækja, annarra en rafknúinna"
"30010","Framleiðsla á skrifstofuvélum","28230","Framleiðsla á skrifstofuvélum og –búnaði, þó ekki tölvum og jaðarbúnaði"
"30020","Framleiðsla á tölvum og öðrum gagnavinnsluvélum","26200","Framleiðsla á tölvum og jaðarbúnaði"
"31100","Framleiðsla og viðgerðir rafhreyfla, rafala og spennubreyta","26120","Framleiðsla á fullbúnum rafeindaspjöldum"
"31100","Framleiðsla og viðgerðir rafhreyfla, rafala og spennubreyta","27110","Framleiðsla á rafhreyflum, rafölum og spennubreytum"
"31100","Framleiðsla og viðgerðir rafhreyfla, rafala og spennubreyta","33140","Viðgerðir á rafbúnaði"
"31200","Framleiðsla og viðhald á búnaði fyrir dreifingu og stjórnkerfi raforku","33140","Viðgerðir á rafbúnaði"
"31200","Framleiðsla og viðhald á búnaði fyrir dreifingu og stjórnkerfi raforku","27330","Framleiðsla á leiðslubúnaði"
"31200","Framleiðsla og viðhald á búnaði fyrir dreifingu og stjórnkerfi raforku","27120","Framleiðsla á dreifi- og stjórnbúnaði fyrir raforku"
"31300","Framleiðsla á einangruðum vírum og strengjum","26120","Framleiðsla á fullbúnum rafeindaspjöldum"
"31300","Framleiðsla á einangruðum vírum og strengjum","27310","Framleiðsla á ljósleiðaraköplum"
"31300","Framleiðsla á einangruðum vírum og strengjum","27320","Framleiðsla á öðrum rafeinda- og rafmagnsvírum og köplum"
"31300","Framleiðsla á einangruðum vírum og strengjum","27330","Framleiðsla á leiðslubúnaði"
"31400","Framleiðsla og viðgerðir á rafgeymum og rafhlöðum","27200","Framleiðsla rafhlaðna og rafgeyma"
"31500","Framleiðsla og viðgerðir á ljósabúnaði og lömpum","27400","Framleiðsla á rafljósabúnaði"
"31610","Framleiðsla og viðgerðir raftækja í hreyfla og ökutæki","29310","Framleiðsla á raf- og rafeindabúnaði í vélknúin ökutæki og hreyfla þeirra"
"31620","Framleiðsla og viðgerðir annarra ótalinna raftækja","33140","Viðgerðir á rafbúnaði"
"31620","Framleiðsla og viðgerðir annarra ótalinna raftækja","27900","Framleiðsla á öðrum rafbúnaði"
"32100","Framleiðsla og viðgerðir á rafeindalömpum og öðrum íhlutum rafeindatækja","26110","Framleiðsla á rafeindaíhlutum"
"32100","Framleiðsla og viðgerðir á rafeindalömpum og öðrum íhlutum rafeindatækja","33130","Viðgerðir á rafeindabúnaði og optískum tækjum"
"32200","Framleiðsla og viðgerðir útvarps- og sjónvarpssenda og tækja fyrir símtækni og símritun","26300","Framleiðsla fjarskiptabúnaðar"
"32200","Framleiðsla og viðgerðir útvarps- og sjónvarpssenda og tækja fyrir símtækni og símritun","95120","Viðgerðir á fjarskiptabúnaði"
"32300","Framleiðsla sjónvarps- og útvarpstækja, hátalara, loftneta og skyldrar vöru","26400","Framleiðsla á sjónvarps-, útvarps- og hljómtækjum og skyldum búnaði"
"32300","Framleiðsla sjónvarps- og útvarpstækja, hátalara, loftneta og skyldrar vöru","33130","Viðgerðir á rafeindabúnaði og optískum tækjum"
"33100","Framleiðsla og viðhald á lækninga- og skurðlækningatækjum og hjálpartækjum","33130","Viðgerðir á rafeindabúnaði og optískum tækjum"
"33100","Framleiðsla og viðhald á lækninga- og skurðlækningatækjum og hjálpartækjum","33140","Viðgerðir á rafbúnaði"
"33100","Framleiðsla og viðhald á lækninga- og skurðlækningatækjum og hjálpartækjum","32500","Framleiðsla á tækjum og vörum til lækninga og tannlækninga"
"33100","Framleiðsla og viðhald á lækninga- og skurðlækningatækjum og hjálpartækjum","26600","Framleiðsla á búnaði til geislunar, raftækjabúnaði til lækninga og meðferðar"
"33200","Framleiðsla og viðhald á leiðsögutækjum og búnaði til mælinga, eftirlits og prófana","26510","Framleiðsla á tækjum og búnaði til mælinga, prófana og leiðsögu"
"33200","Framleiðsla og viðhald á leiðsögutækjum og búnaði til mælinga, eftirlits og prófana","33130","Viðgerðir á rafeindabúnaði og optískum tækjum"
"33300","Framleiðsla og viðhald á stjórnbúnaði fyrir iðnaðarframleiðslu","33140","Viðgerðir á rafbúnaði"
"33300","Framleiðsla og viðhald á stjórnbúnaði fyrir iðnaðarframleiðslu","33130","Viðgerðir á rafeindabúnaði og optískum tækjum"
"33400","Framleiðsla á sjóntækjum, ljósmyndavélum o.þ.h.","33130","Viðgerðir á rafeindabúnaði og optískum tækjum"
"33400","Framleiðsla á sjóntækjum, ljósmyndavélum o.þ.h.","26700","Framleiðsla á optískum tækjum og ljósmyndabúnaði"
"33500","Úr- og klukkusmíði","26520","Framleiðsla á úrum og klukkum"
"34100","Bílaverksmiðjur","29100","Framleiðsla vélknúinna ökutækja"
"34100","Bílaverksmiðjur","30910","Framleiðsla vélhjóla"
"34200","Smíði yfirbygginga og framleiðsla tengi- og aftanívagna","29200","Smíði yfirbygginga fyrir vélknúin ökutæki og framleiðsla tengivagna"
"34300","Framleiðsla á íhlutum og aukahlutum í bíla","29320","Framleiðsla á öðrum íhlutum og aukabúnaði í vélknúin ökutæki og hreyfla þeirra"
"35110","Skipasmíði og skipaviðgerðir","33150","Viðgerðir og viðhald á skipum og bátum"
"35110","Skipasmíði og skipaviðgerðir","30110","Smíði skipa og annarra fljótandi mannvirkja"
"35120","Smíði og viðgerðir skemmti- og sportbáta","30120","Smíði skemmti- og sportbáta"
"35120","Smíði og viðgerðir skemmti- og sportbáta","33150","Viðgerðir og viðhald á skipum og bátum"
"35200","Smíði og viðgerðir járnbrautar- og sporvagna","30200","Framleiðsla eimreiða og járnbrautarvagna"
"35200","Smíði og viðgerðir járnbrautar- og sporvagna","33170","Viðgerðir og viðhald á öðrum ótöldum flutningatækjum"
"35300","Smíði og viðgerðir loftfara og geimfara","30300","Framleiðsla á loft- og geimförum og tengdum vélbúnaði"
"35300","Smíði og viðgerðir loftfara og geimfara","33160","Viðgerðir og viðhald á loftförum og geimförum"
"35410","Framleiðsla bifhjóla","45400","Sala, viðhald og viðgerðir vélhjóla og hluta og aukabúnaðar til þeirra"
"35410","Framleiðsla bifhjóla","30910","Framleiðsla vélhjóla"
"35420","Framleiðsla reiðhjóla","30920","Framleiðsla á reiðhjólum, barnavögnum og farartækjum fyrir hreyfihamlaða"
"35430","Framleiðsla og viðgerðir farartækja fyrir fatlaða","30920","Framleiðsla á reiðhjólum, barnavögnum og farartækjum fyrir hreyfihamlaða"
"35430","Framleiðsla og viðgerðir farartækja fyrir fatlaða","95290","Viðgerðir á öðrum hlutum til einka- og heimilisnota"
"35500","Framleiðsla og viðgerðir annarra ótalinna farartækja","33170","Viðgerðir og viðhald á öðrum ótöldum flutningatækjum"
"35500","Framleiðsla og viðgerðir annarra ótalinna farartækja","30990","Framleiðsla annarra ótaldra farartækja"
"36110","Sófa- og stólaframleiðsla; bólstrun","31010","Framleiðsla á húsgögnum og innréttingum fyrir atvinnuhúsnæði"
"36110","Sófa- og stólaframleiðsla; bólstrun","31020","Framleiðsla á húsgögnum og innréttingum í eldhús"
"36110","Sófa- og stólaframleiðsla; bólstrun","31090","Framleiðsla á öðrum húsgögnum og innréttingum"
"36110","Sófa- og stólaframleiðsla; bólstrun","95240","Viðgerðir á húsgögnum og áklæðum"
"36120","Framleiðsla á skrifstofu- og verslunarhúsgögnum, þó ekki stólum","31010","Framleiðsla á húsgögnum og innréttingum fyrir atvinnuhúsnæði"
"36130","Innréttingasmíði","31020","Framleiðsla á húsgögnum og innréttingum í eldhús"
"45430","Lagning gólf- og veggefna, þó ekki úr viði","43330","Lagning gólfefna og veggefna"
"45441","Málningarvinna","43341","Málningarvinna"
"45442","Glerjun","43342","Glerjun"
"45450","Annar frágangur bygginga","43390","Annar frágangur bygginga"
"45500","Leiga á vinnuvélum með stjórnanda","43990","Önnur ótalin sérhæfð byggingarstarfsemi"
"50101","Bílasala með nýja bíla","45110","Bílasala"
"50101","Bílasala með nýja bíla","45199","Sala á öðrum ótöldum vélknúnum ökutækjum og tengivögnum"
"50102","Bílasala með notaða bíla","45110","Bílasala"
"50102","Bílasala með notaða bíla","45199","Sala á öðrum ótöldum vélknúnum ökutækjum og tengivögnum"
"50200","Bílaviðgerðir og viðhald; hjólbarðaviðgerðir","52210","Þjónustustarfsemi tengd flutningum á landi"
"50300","Sala vara- og fylgihluta í bíla","45310","Heildverslun með varahluti og aukabúnað í bíla"
"50300","Sala vara- og fylgihluta í bíla","45320","Smásala á varahlutum og aukabúnaði í bíla"
"50400","Sala, viðhald og viðgerðir vélhjóla og torfærutækja,  auka- og varahluta í þau","45400","Sala, viðhald og viðgerðir vélhjóla og hluta og aukabúnaðar til þeirra"
"50500","Bensínstöðvar","47300","Bensínstöðvar"
"51110","Umboðsverslun með hráefni úr landbúnaði, lífdýr, hráefni til vefjariðnaðar og hálfunna vöru","46110","Umboðsverslun með hráefni úr landbúnaði, lifandi dýr, textílhráefni og hálfunna vöru"
"51120","Umboðsverslun með eldsneyti, málmgrýti, málma og efnavöru","46120","Umboðsverslun með eldsneyti, málmgrýti, málma og íðefni til iðnaðarnota"
"51130","Umboðsverslun með timbur og byggingarefni","46130","Umboðsverslun með timbur og byggingarefni"
"51140","Umboðsverslun með vélar og vélbúnað, iðnaðarvélar, skip og loftför","46140","Umboðsverslun með vélar, iðnaðarvélar, skip og loftför"
"51150","Umboðsverslun með húsgögn, heimilisbúnað, járnvöru og verkfæri","46150","Umboðsverslun með húsgögn, heimilisbúnað og járnvörur"
"51160","Umboðsverslun með vefnaðarvöru, fatnað, skófatnað og leðurvöru","46160","Umboðsverslun með textílefni, fatnað, loðfelda, skófatnað og leðurvörur"
"51171","Umboðsverslun með fisk og fiskafurðir","46171","Umboðsverslun með fisk og fiskafurðir"
"51172","Fiskmarkaðir","46172","Fiskmarkaðir"
"51179","Umboðsverslun með aðra matvöru en fisk, drykkjarvöru og tóbak","46179","Umboðsverslun með aðra matvöru, drykkjarvöru og tóbak"
"51180","Umboðsverslun með aðra tiltekna vöru og vöruflokka","46180","Umboðsverslun sem sérhæfir sig í sölu á öðrum tilteknum vörum eða vöruflokkum"
"51190","Umboðsverslun með margs konar vöru","46190","Blönduð umboðsverslun"
"51210","Heildverslun með korn, fræ og dýrafóður","46210","Heildverslun með korn, óunnið tóbak, fræ og dýrafóður"
"51220","Heildverslun með blóm og plöntur","46220","Heildverslun með blóm og plöntur"
"51230","Heildverslun með lífdýr","46230","Heildverslun með lifandi dýr"
"51240","Heildverslun með húðir, skinn og leður","46240","Heildverslun með húðir, skinn og leður"
"51250","Heildverslun með óunnið tóbak","46210","Heildverslun með korn, óunnið tóbak, fræ og dýrafóður"
"51310","Heildverslun með ávexti og grænmeti","46310","Heildverslun með ávexti og grænmeti"
"51320","Heildverslun með kjöt og kjötvöru","46320","Heildverslun með kjöt og kjötvöru"
"51330","Heildverslun með mjólkurafurðir, egg, olíu til manneldis og feiti","46330","Heildverslun með mjólkurafurðir, egg, matarolíu og -feiti"
"51340","Heildverslun með áfengi og aðra drykkjarvöru","46340","Heildverslun með drykkjarvörur"
"51350","Heildverslun með tóbaksvöru","46350","Heildverslun með tóbaksvöru"
"51360","Heildverslun með sykur, súkkulaði og sælgæti","46360","Heildverslun með sykur, súkkulaði og sælgæti"
"51370","Heildverslun með kaffi, te, kakó og krydd","46370","Heildverslun með kaffi, te, kakó og krydd"
"51380","Heildverslun með fisk og fiskafurðir","46381","Heildverslun með fisk og fiskafurðir"
"51390","Heildverslun með önnur matvæli, drykkjarvöru og tóbak","46390","Blönduð heildverslun með matvæli, drykkjarvöru og tóbak"
"51410","Heildverslun með vefnaðarvöru","46410","Heildverslun með textílvöru"
"51421","Heildverslun með fatnað","46420","Heildverslun með fatnað og skófatnað"
"51422","Heildverslun með skófatnað","46420","Heildverslun með fatnað og skófatnað"
"51430","Heildverslun með heimilistæki, útvarps- og sjónvarpstæki, lampa, rafmagnstæki o.þ.h.","46430","Heildverslun með heimilistæki, útvörp, sjónvörp og tengdar vörur"
"51441","Heildverslun með postulín og glervöru","46441","Heildverslun með postulín og glervöru"
"51442","Heildverslun með  hreingerningarefni","46442","Heildverslun með hreingerningarefni"
"51450","Heildverslun með ilmvatn og snyrtivöru","46450","Heildverslun með ilmvötn og snyrtivörur"
"51460","Heildverslun með lyf og lækningavörur","46460","Heildverslun með lyf og lækningavörur"
"51471","Heildverslun með húsgögn","46470","Heildverslun með húsgögn, teppi og ljósabúnað"
"51472","Heildverslun með teppi og önnur gólfefni","46470","Heildverslun með húsgögn, teppi og ljósabúnað"
"51473","Heildverslun með úr, sjóntæki og ljósmyndavörur","46480","Heildverslun með úr og skartgripi"
"51474","Heildverslun með leikföng","46490","Heildverslun með aðrar vörur til heimilisnota"
"51475","Heildverslun með bækur, blöð og ritföng","46490","Heildverslun með aðrar vörur til heimilisnota"
"51479","Heildverslun með annan ótalinn varning til heimilisnota","46490","Heildverslun með aðrar vörur til heimilisnota"
"51510","Heildverslun með fast, fljótandi og gaskennt eldsneyti og skyldar vörur","46710","Heildverslun með fast, fljótandi og loftkennt eldsneyti og skyldar vörur"
"51520","Heildverslun með óunna málma og málmgrýti","46720","Heildverslun með málma og málmgrýti"
"51530","Heildverslun með timbur, byggingarefni og málningu","46730","Heildverslun með timbur, byggingarefni og hreinlætistæki"
"51540","Heildverslun með járnvöru, vöru til pípu- og hitalagna og búnað til þeirra","46740","Heildverslun með járnvöru, búnað til pípu- og hitalagna og hluti til þeirra"
"51550","Heildverslun með efnavöru","46750","Heildverslun með efnavörur"
"51550","Heildverslun með efnavöru","46760","Heildverslun með aðrar hálfunnar vörur"
"51560","Heildverslun með önnur hráefni og hálfunnin efni","46760","Heildverslun með aðrar hálfunnar vörur"
"51570","Heildverslun með úrgangsefni og brotajárn","46770","Heildverslun með úrgangsefni og brotajárn"
"51610","Heildverslun með smíðavélar til málm- og trésmíða","46620","Heildverslun með smíðavélar"
"51620","Heildverslun með vélar til mannvirkjagerðar","46630","Heildverslun með vélbúnað til námavinnslu, byggingarstarfsemi og mannvirkjagerðar"
"51630","Heildverslun með vélar til vefjariðnaðar og sauma- og prjónavélar","46640","Heildverslun með vélar til textíliðnaðar, sauma- og prjónavélar"
"51641","Heildverslun með tölvur, ritvélar o.þ.h.","46510","Heildverslun með tölvur, jaðartæki fyrir tölvur og hugbúnað"
"51642","Heildverslun með skrifstofubúnað","46650","Heildverslun með skrifstofuhúsgögn"
"51642","Heildverslun með skrifstofubúnað","46660","Heildverslun með aðrar skrifstofuvélar og tæki"
"51660","Heildverslun með landbúnaðarvélar og -tæki og hluti til þeirra","46610","Heildverslun með landbúnaðarvélar, -tæki og hluti til þeirra"
"51700","Önnur heildverslun","46900","Blönduð heildverslun"
"52111","Stórmarkaðir með minnst 400 m² verslunarrými","47111","Stórmarkaðir og matvöruverslanir"
"52112","Matvöruverslun með minna en 400 m² verslunarrými","47111","Stórmarkaðir og matvöruverslanir"
"52113","Söluturnar","47112","Söluturnar"
"52120","Önnur blönduð smásala","47190","Önnur blönduð smásala"
"52210","Ávaxta- og grænmetisverslun","47210","Smásala á ávöxtum og grænmeti í sérverslunum"
"52220","Kjötbúðir","47220","Smásala á kjöti og kjötvöru í sérverslunum"
"52230","Fiskbúðir","47230","Fiskbúðir"
"52240","Smásala á brauði, kökum og  sætabrauði","47240","Smásala á brauði, kökum, sætabrauði og sælgæti í sérverslunum"
"52250","Áfengisverslun","47250","Smásala á drykkjarvöru í sérverslunum"
"52260","Tóbaksverslun","47260","Smásala á tóbaksvörum í sérverslunum"
"52270","Önnur smásala á matvöru, drykkjarvöru og tóbaki í sérverslunum","47290","Önnur smásala á matvælum í sérverslunum"
"52310","Apótek","47730","Lyfjaverslanir"
"52320","Smásala lækninga- og hjúkrunarvöru","47740","Smásala á lækninga- og hjúkrunarvörum í sérverslunum"
"52330","Snyrtivöru- og sápuverslun","47750","Smásala á snyrtivörum og sápum í sérverslunum"
"52410","Vefnaðarvöruverslun","47510","Smásala á textílvörum í sérverslunum"
"52421","Kvenfataverslun","47711","Fataverslanir"
"52422","Herrafataverslun","47711","Fataverslanir"
"52423","Barnafataverslun","47712","Barnafataverslanir"
"52424","Blönduð fataverslun","47711","Fataverslanir"
"52431","Skóverslun","47721","Smásala á skófatnaði í sérverslunum"
"52432","Leðurvöruverslun","47722","Smásala á leðurvörum í sérverslunum"
"52441","Húsgagnaverslun","47591","Smásala á húsgögnum í sérverslunum"
"52442","Teppaverslun","47530","Smásala á teppum, mottum, gluggatjöldum, vegg- og gólfefnum í sérverslunum"
"52443","Gluggatjaldaverslun","47530","Smásala á teppum, mottum, gluggatjöldum, vegg- og gólfefnum í sérverslunum"
"52444","Lampa- og raftækjaverslun","47592","Smásala á ljósabúnaði í sérverslunum"
"52445","Búsáhaldaverslun","47599","Smásala á öðrum ótöldum heimilisbúnaði í sérverslunum"
"52451","Smásala á heimilistækjum","47540","Smásala á heimilistækjum í sérverslunum"
"52452","Smásala á útvarps- og sjónvarpstækjum","47430","Smásala á hljóð- og myndbandsbúnaði í sérverslunum"
"52453","Smásala á hljómplötum, geisladiskum o.þ.h.","47630","Smásala á tónlistar- og myndupptökum í sérverslunum"
